intervention,id_engagement_engin,victime,commune,categorie,id_engin,duree_engin_sur_intervention,heure,jour,,,,
2977980,101,1,SURESNES,SECOURS A PERSONNE,5327,3788,10,lundi,,,,
257981,102,1,BLANC-MESNIL (LE),SECOURS A PERSONNE,5337,3955,9,lundi,,,,
3117981,103,0,AULNAY-SOUS-BOIS,Autres,5216,1315,10,lundi,,,,
3217980,104,1,1ER ARRONDISSEMENT,SECOURS A PERSONNE,5149,5912,10,lundi,,,,
3567981,105,1,NANTERRE,SECOURS A PERSONNE,5358,1721,10,lundi,,,,
3407980,106,1,SAINT-CLOUD,SECOURS A PERSONNE,5330,2666,11,lundi,,,,
297981,107,0,COURBEVOIE,INCENDIE,5211,4138,11,lundi,,,,
1367981,108,1,SAINT-DENIS,SECOURS A PERSONNE,5363,3928,11,lundi,,,,
1837980,109,1,MONTROUGE,SECOURS A PERSONNE,5365,3016,11,lundi,,,,
727980,110,1,16EME ARRONDISSEMENT,SECOURS A PERSONNE,5306,1367,12,lundi,,,,
3947980,111,1,1ER ARRONDISSEMENT,SECOURS A PERSONNE,5149,5563,12,lundi,,,,
8877979,112,0,16EME ARRONDISSEMENT,INCENDIE,5254,3819,12,lundi,,,,
197980,113,1,8EME ARRONDISSEMENT,SECOURS A PERSONNE,5293,5984,12,lundi,,,,
4287980,114,1,AUBERVILLIERS,SECOURS A PERSONNE,5219,2995,13,lundi,,,,
1487981,115,0,CHAMPIGNY-SUR-MARNE,Autres,5355,260,13,lundi,,,,
7757979,116,0,VILLENEUVE-LA-GARENNE,SECOURS A PERSONNE,5088,1808,14,lundi,,,,
8987979,117,0,10EME ARRONDISSEMENT,SECOURS A PERSONNE,5343,79798,14,lundi,,,,
4627980,118,1,PUTEAUX,SECOURS A PERSONNE,5358,5630,14,lundi,,,,
3817981,119,1,18EME ARRONDISSEMENT,SECOURS A PERSONNE,5301,6744,15,lundi,,,,
3817981,120,1,18EME ARRONDISSEMENT,SECOURS A PERSONNE,5177,4765,15,lundi,,,,
5137980,121,1,ASNIERES-SUR-SEINE,SECOURS A PERSONNE,5089,3218,16,lundi,,,,
5217980,122,1,MEUDON,SECOURS A PERSONNE,5176,1166,16,lundi,,,,
5417980,123,1,6EME ARRONDISSEMENT,SECOURS A PERSONNE,5350,5275,16,lundi,,,,
3877981,124,0,PIERREFITTE-SUR-SEINE,Autres,5157,2365,17,lundi,,,,
2607981,125,1,MEUDON,SECOURS A PERSONNE,5137,2403,17,lundi,,,,
9117979,126,1,COURNEUVE (LA),SECOURS A PERSONNE,5359,3773,17,lundi,,,,
9707980,127,1,17EME ARRONDISSEMENT,SECOURS A PERSONNE,5141,3053,18,lundi,,,,
2657981,128,1,CHAMPIGNY-SUR-MARNE,SECOURS A PERSONNE,5087,3203,18,lundi,,,,
4567980,129,0,NOGENT-SUR-MARNE,INCENDIE,5166,6851,14,lundi,,,,
287980,130,1,18EME ARRONDISSEMENT,SECOURS A PERSONNE,5344,1770,14,lundi,,,,
7787979,131,1,11EME ARRONDISSEMENT,SECOURS A PERSONNE,5349,4575,14,lundi,,,,
9437980,132,1,12EME ARRONDISSEMENT,SECOURS A PERSONNE,5226,3825,15,lundi,,,,
9027979,133,0,PUTEAUX,SECOURS A PERSONNE,5327,79799,15,lundi,,,,
5357980,134,1,15EME ARRONDISSEMENT,SECOURS A PERSONNE,5338,3944,16,lundi,,,,
5807981,135,1,12EME ARRONDISSEMENT,SECOURS A PERSONNE,5349,2396,16,lundi,,,,
1537980,136,1,COURNEUVE (LA),SECOURS A PERSONNE,5146,2870,17,lundi,,,,
7947979,137,0,STAINS,Autres,5162,2148,17,lundi,,,,
1567980,138,1,MONTREUIL,SECOURS A PERSONNE,5348,3734,18,lundi,,,,
2647981,139,1,PRE-SAINT-GERVAIS (LE),SECOURS A PERSONNE,5219,4302,18,lundi,,,,
1787981,140,0,AULNAY-SOUS-BOIS,Autres,5337,95,18,lundi,,,,
6227980,141,1,QUEUE-EN-BRIE (LA),SECOURS A PERSONNE,5154,10618,18,lundi,,,,
507980,142,1,FONTENAY-AUX-ROSES,SECOURS A PERSONNE,5137,6956,19,lundi,,,,
6467980,143,1,16EME ARRONDISSEMENT,SECOURS A PERSONNE,5218,3600,19,lundi,,,,
8087979,144,1,18EME ARRONDISSEMENT,SECOURS A PERSONNE,5343,4830,19,lundi,,,,
6697980,145,1,8EME ARRONDISSEMENT,SECOURS A PERSONNE,5360,4736,20,lundi,,,,
827981,146,1,11EME ARRONDISSEMENT,ACCIDENT,5349,2243,20,lundi,,,,
8787979,147,1,11EME ARRONDISSEMENT,SECOURS A PERSONNE,5345,4536,21,lundi,,,,
5147981,148,0,CHAMPIGNY-SUR-MARNE,ACCIDENT,5355,3122,20,lundi,,,,
4047981,149,0,12EME ARRONDISSEMENT,INCENDIE,5091,1591,21,lundi,,,,
907981,150,1,NANTERRE,SECOURS A PERSONNE,5358,11557,21,lundi,,,,
977981,151,1,16EME ARRONDISSEMENT,SECOURS A PERSONNE,5360,3395,22,lundi,,,,
6107981,152,0,LIVRY-GARGAN,SECOURS A PERSONNE,5216,1800,22,lundi,,,,
9627980,153,1,DRANCY,SECOURS A PERSONNE,5359,2929,23,lundi,,,,
8157980,154,1,2EME ARRONDISSEMENT,SECOURS A PERSONNE,5149,6187,23,lundi,,,,
1047981,155,1,CHAMPIGNY-SUR-MARNE,SECOURS A PERSONNE,5289,3550,0,mardi,,,,
2887981,156,0,EPINAY-SUR-SEINE,Autres,5363,63,0,mardi,,,,
5027981,157,0,SAINT-OUEN,Autres,5145,1588,2,mardi,,,,
677980,158,1,SAINT-DENIS,SECOURS A PERSONNE,5146,5545,2,mardi,,,,
8717980,159,1,6EME ARRONDISSEMENT,SECOURS A PERSONNE,5338,2736,2,mardi,,,,
9667980,160,1,17EME ARRONDISSEMENT,SECOURS A PERSONNE,5344,3428,3,mardi,,,,
8937980,161,1,13EME ARRONDISSEMENT,SECOURS A PERSONNE,5178,2707,3,mardi,,,,
3327981,162,1,4EME ARRONDISSEMENT,SECOURS A PERSONNE,5144,5863,4,mardi,,,,
217983,163,1,20EME ARRONDISSEMENT,SECOURS A PERSONNE,5345,5929,5,mardi,,,,
2327983,164,1,18EME ARRONDISSEMENT,SECOURS A PERSONNE,5344,2387,6,mardi,,,,
5837982,165,1,14EME ARRONDISSEMENT,SECOURS A PERSONNE,5224,5000,6,mardi,,,,
5807982,166,1,ROISSY-EN-FRANCE,SECOURS A PERSONNE,1570,3662,6,mardi,,,,
2857981,167,1,ROISSY-EN-FRANCE,SECOURS A PERSONNE,1570,3184,22,lundi,,,,
3727981,168,1,PARAY-VIEILLE-POSTE,SECOURS A PERSONNE,3658,5279,13,lundi,,,,
4827980,169,1,FRESNES,SECOURS A PERSONNE,4239,6619,15,lundi,,,,
6447981,170,1,ASNIERES-SUR-SEINE,SECOURS A PERSONNE,3642,3297,6,mardi,,,,
9897979,171,1,ASNIERES-SUR-SEINE,SECOURS A PERSONNE,3642,5927,22,lundi,,,,
1267981,172,1,AUBERVILLIERS,SECOURS A PERSONNE,2287,3642,10,lundi,,,,
3737980,173,1,12EME ARRONDISSEMENT,SECOURS A PERSONNE,4288,2950,12,lundi,,,,
837980,174,0,AUBERVILLIERS,SECOURS A PERSONNE,2287,79800,11,lundi,,,,
3767981,175,1,LIVRY-GARGAN,SECOURS A PERSONNE,4065,3424,14,lundi,,,,
2307983,176,1,SEVRAN,SECOURS A PERSONNE,4065,2146,5,mardi,,,,
9277980,177,1,16EME ARRONDISSEMENT,SECOURS A PERSONNE,4042,4417,11,lundi,,,,
8607979,178,1,16EME ARRONDISSEMENT,SECOURS A PERSONNE,4042,4819,10,lundi,,,,
6077980,179,1,19EME ARRONDISSEMENT,SECOURS A PERSONNE,4044,4452,18,lundi,,,,
8017979,180,1,19EME ARRONDISSEMENT,SECOURS A PERSONNE,3895,7782,18,lundi,,,,
8497979,181,1,1ER ARRONDISSEMENT,SECOURS A PERSONNE,4208,5434,10,lundi,,,,
3137980,182,0,9EME ARRONDISSEMENT,SECOURS A PERSONNE,4961,3449,11,lundi,,,,
2487981,183,0,9EME ARRONDISSEMENT,SECOURS A PERSONNE,4961,79812,15,lundi,,,,
5727981,184,0,RUEIL-MALMAISON,SECOURS A PERSONNE,255,3095,15,lundi,,,,
8357980,185,0,8EME ARRONDISSEMENT,SECOURS A PERSONNE,4961,79808,0,mardi,,,,
9407979,186,1,VITRY-SUR-SEINE,SECOURS A PERSONNE,2971,3034,0,mardi,,,,
6337980,187,1,BONDY,SECOURS A PERSONNE,4041,3824,19,lundi,,,,
1777981,188,0,BONDY,SECOURS A PERSONNE,2360,79811,18,lundi,,,,
1457981,189,1,BOULOGNE-BILLANCOURT,SECOURS A PERSONNE,2417,4771,13,lundi,,,,
5107980,190,1,VILLE-D'AVRAY,SECOURS A PERSONNE,2417,4041,16,lundi,,,,
5607980,191,1,MAISONS-ALFORT,SECOURS A PERSONNE,4246,3116,17,lundi,,,,
6297980,192,0,MONTFERMEIL,INCENDIE,5300,2323,19,lundi,,,,
2717981,193,1,CHAMPIGNY-SUR-MARNE,SECOURS A PERSONNE,5087,1132,19,lundi,,,,
857981,194,0,AUBERVILLIERS,INCENDIE,5252,2402,19,lundi,,,,
857981,195,0,AUBERVILLIERS,INCENDIE,5162,2279,19,lundi,,,,
6817980,196,0,NANTERRE,SECOURS A PERSONNE,5278,2803,21,lundi,,,,
2777981,197,1,CHAMPIGNY-SUR-MARNE,ACCIDENT,5087,4284,20,lundi,,,,
1677980,198,0,NOISY-LE-SEC,Autres,5179,101,21,lundi,,,,
4037981,199,1,18EME ARRONDISSEMENT,SECOURS A PERSONNE,5344,2772,21,lundi,,,,
7657980,200,1,4EME ARRONDISSEMENT,ACCIDENT,5349,5096,22,lundi,,,,
6297981,201,1,ILE-SAINT-DENIS (L'),ACCIDENT,5145,3107,22,lundi,,,,
8027980,202,1,NEUILLY-SUR-SEINE,SECOURS A PERSONNE,5097,1824,23,lundi,,,,
8217979,203,1,11EME ARRONDISSEMENT,SECOURS A PERSONNE,5345,4844,23,lundi,,,,
8267980,204,1,CLAMART,SECOURS A PERSONNE,5137,1950,23,lundi,,,,
1017981,205,1,9EME ARRONDISSEMENT,SECOURS A PERSONNE,5293,4878,23,lundi,,,,
8277979,206,1,15EME ARRONDISSEMENT,SECOURS A PERSONNE,5224,2580,1,mardi,,,,
1067981,207,1,NOISY-LE-SEC,SECOURS A PERSONNE,5179,3188,1,mardi,,,,
8807980,208,1,12EME ARRONDISSEMENT,Autres,5349,1674,2,mardi,,,,
8817980,209,0,AUBERVILLIERS,Autres,5252,3129,2,mardi,,,,
