"","intervention","id_engagement_engin","victime","commune","categorie","id_engin","heure","jour","duree_engin_hms","duree_engin_min"
"11577",8167988,11577,1,"BOBIGNY","SECOURS A PERSONNE",2969,19,"vendredi",01:45:57.0,105.95
"11578",4517988,11578,1,"VITRY-SUR-SEINE","SECOURS A PERSONNE",2971,3,"samedi",00:47:10.0,47.17
"11579",877989,11579,1,"ORLY","SECOURS A PERSONNE",2971,21,"vendredi",01:36:23.0,96.38
"11580",3347988,11580,0,"COURBEVOIE","SECOURS A PERSONNE",2991,23,"vendredi",01:23:34.0,83.57
"11581",1397988,11581,1,"COURBEVOIE","SECOURS A PERSONNE",2991,3,"samedi",00:45:38.0,45.63
"11582",5207988,11582,0,"NANTERRE","SECOURS A PERSONNE",2993,16,"vendredi",00:02:15.0,2.25
"11583",9797988,11583,1,"PUTEAUX","SECOURS A PERSONNE",2993,18,"vendredi",01:55:09.0,115.15
"11584",9857987,11584,1,"LIVRY-GARGAN","SECOURS A PERSONNE",3654,22,"vendredi",00:42:30.0,42.5
"11585",77989,11585,1,"NOISY-LE-SEC","SECOURS A PERSONNE",3654,11,"vendredi",02:12:13.0,132.22
"11586",7587988,11586,1,"BOBIGNY","SECOURS A PERSONNE",3723,19,"vendredi",00:49:20.0,49.33
"11587",5177988,11587,1,"20EME ARRONDISSEMENT","SECOURS A PERSONNE",3723,15,"vendredi",01:06:40.0,66.67
"11588",8947988,11588,1,"BAGNOLET","SECOURS A PERSONNE",3740,17,"vendredi",01:08:37.0,68.62
"11589",917989,11589,0,"LILAS (LES)","SECOURS A PERSONNE",3740,21,"vendredi",01:07:06.0,67.1
"11590",4277988,11590,1,"LEVALLOIS-PERRET","SECOURS A PERSONNE",3747,20,"vendredi",01:29:10.0,89.17
"11591",1257988,11591,1,"CLICHY","SECOURS A PERSONNE",3747,2,"samedi",00:46:06.0,46.1
"11592",4187988,11592,1,"LIVRY-GARGAN","SECOURS A PERSONNE",3749,19,"vendredi",00:32:54.0,32.9
"11593",2857989,11593,1,"TREMBLAY-EN-FRANCE","SECOURS A PERSONNE",3749,19,"vendredi",01:52:34.0,112.57
"11594",8077988,11594,1,"15EME ARRONDISSEMENT","SECOURS A PERSONNE",3755,18,"vendredi",01:15:26.0,75.43
"11595",7427987,11595,1,"TREMBLAY-EN-FRANCE","SECOURS A PERSONNE",3757,17,"vendredi",01:18:17.0,78.28
"11596",2097989,11596,1,"STAINS","SECOURS A PERSONNE",3761,4,"samedi",00:45:07.0,45.12
"11597",3327988,11597,1,"SAINT-DENIS","SECOURS A PERSONNE",3761,22,"vendredi",00:35:57.0,35.95
"11598",57988,11598,0,"MONTREUIL","Autres",3767,22,"vendredi",00:01:06.0,1.1
"11599",1047988,11599,0,"CHAMPIGNY-SUR-MARNE","Autres",3770,2,"samedi",00:29:39.0,29.65
"11600",2097988,11600,1,"VINCENNES","SECOURS A PERSONNE",3777,21,"vendredi",01:23:35.0,83.58
"11601",3557990,11601,1,"MONTREUIL","SECOURS A PERSONNE",5179,14,"samedi",00:48:04.0,48.07
"11602",457991,11602,0,"BOULOGNE-BILLANCOURT","Autres",5185,14,"samedi",01:00:29.0,60.48
"11603",5137990,11603,0,"15EME ARRONDISSEMENT","INCENDIE",5193,11,"samedi",04:03:50.0,243.83
"11604",5547990,11604,0,"13EME ARRONDISSEMENT","Autres",5209,20,"samedi",01:10:58.0,70.97
"11605",6197990,11605,0,"5EME ARRONDISSEMENT","Autres",5209,11,"samedi",00:09:30.0,9.5
"11606",417990,11606,1,"AULNAY-SOUS-BOIS","SECOURS A PERSONNE",5216,3,"dimanche",01:01:46.0,61.77
"11607",8857989,11607,1,"SEVRAN","SECOURS A PERSONNE",5216,22,"samedi",01:27:12.0,87.2
"11608",8067989,11608,1,"19EME ARRONDISSEMENT","SECOURS A PERSONNE",5219,21,"samedi",02:13:48.0,133.8
"11609",8347991,11609,1,"PANTIN","SECOURS A PERSONNE",5219,6,"dimanche",00:22:28.0,22.47
"11610",5957989,11610,1,"MONTROUGE","SECOURS A PERSONNE",5224,16,"samedi",01:04:54.0,64.9
"11611",5957989,11611,0,"MONTROUGE","SECOURS A PERSONNE",5224,16,"samedi",22:11:35.0,1331.58
"11612",5767990,11612,0,"3EME ARRONDISSEMENT","Autres",5246,11,"samedi",01:24:34.0,84.57
"11613",6057991,11613,0,"10EME ARRONDISSEMENT","Autres",5246,6,"dimanche",22:11:56.0,1331.93
"11614",5057985,11614,0,"AUBERVILLIERS","INCENDIE",5252,1,"jeudi",00:53:08.0,53.13
"11615",8787990,11615,0,"VILLIERS-SUR-MARNE","Autres",5253,22,"samedi",01:31:24.0,91.4
"11616",9847989,11616,0,"ROISSY-EN-FRANCE","INCENDIE",5285,1,"dimanche",01:37:52.0,97.87
"11617",9327990,11617,1,"CRETEIL","SECOURS A PERSONNE",5289,0,"dimanche",00:58:24.0,58.4
"11618",3687990,11618,1,"9EME ARRONDISSEMENT","SECOURS A PERSONNE",5293,16,"samedi",00:34:15.0,34.25
"11619",5267990,11619,1,"9EME ARRONDISSEMENT","SECOURS A PERSONNE",5293,14,"samedi",00:50:27.0,50.45
"11620",107990,11620,1,"COLOMBES","SECOURS A PERSONNE",5303,2,"dimanche",01:19:31.0,79.52
"11621",3087992,11621,1,"COLOMBES","SECOURS A PERSONNE",5303,6,"dimanche",00:40:35.0,40.58
"11622",7957990,11622,1,"CRETEIL","SECOURS A PERSONNE",5305,3,"dimanche",01:52:58.0,112.97
"11623",6797990,11623,1,"CRETEIL","SECOURS A PERSONNE",5305,22,"samedi",00:43:37.0,43.62
